generation,N,G,z
0,20.0,1.0,1.0
1,25.195615944757233,0.8866605765057602,0.8866605765057602
2,31.418497477314094,0.7373782234005551,0.7373782234005551
3,38.63910882647721,0.5452222802657137,0.5452222802657137
4,46.6295303199014,0.4939570017741843,0.4939570017741843
5,55.26493367348112,0.3103429793688745,0.3103429793688745
6,63.75143384095327,0.008011107772513584,0.008011107772513584
7,70.72313643813159,-0.30592258489644575,-0.30592258489644575
8,74.98153674622124,-0.573492894220353,-0.573492894220353
9,76.26037188132611,-1.056166207509769,-1.056166207509769
10,72.51934747582183,-1.4810223441689578,-1.4810223441689578
11,65.7446793115555,-1.875055765389014,-1.875055765389014
12,58.01614403945299,-2.260551279730312,-2.260551279730312
13,50.479809657126395,-2.565472706618018,-2.565472706618018
14,44.292079043823136,-2.795417275627931,-2.795417275627931
15,39.574952309594785,-3.016770404190865,-3.016770404190865
16,35.74277032026671,-3.261089911329148,-3.261089911329148
17,32.33999774394799,-3.468279157629679,-3.468279157629679
18,29.478717468267075,-3.703754390767765,-3.703754390767765
19,26.852780519689833,-3.844219418598226,-3.844219418598226
20,24.841405525207325,-4.076052940443178,-4.076052940443178
21,22.841113494397,-4.244538107677688,-4.244538107677688
22,21.14459965543347,-4.366983936547568,-4.366983936547568
23,19.79414224096455,-4.482798912432715,-4.482798912432715
24,18.670241043456038,-4.4983091370679915,-4.4983091370679915
25,17.949270448086608,-4.549286205727868,-4.549286205727868
26,17.370474795778172,-4.676873281910618,-4.676873281910618
27,16.704007622461567,-4.840546893281524,-4.840546893281524
28,15.91222106347562,-4.97378677487725,-4.97378677487725
29,15.131730760738492,-5.07615646279642,-5.07615646279642
30,14.438654509222644,-5.136992349142494,-5.136992349142494
31,13.88865663913491,-5.228803999431194,-5.228803999431194
32,13.369515359810936,-5.324615632859754,-5.324615632859754
33,12.868744299846862,-5.331865835583529,-5.331865835583529
34,12.537248977169545,-5.340312119023401,-5.340312119023401
35,12.306033387339221,-5.40231992333496,-5.40231992333496
36,12.054754894253618,-5.456696881052761,-5.456696881052761
37,11.804277619637803,-5.526273165444349,-5.526273165444349
38,11.533041515984902,-5.521970433494403,-5.521970433494403
39,11.359886353368626,-5.606522467061824,-5.606522467061824
40,11.12180800202873,-5.654605223006281,-5.654605223006281
41,10.895664133428276,-5.685401816942968,-5.685401816942968
