generation,N,G,z,N_obs,z_obs
0,20.0,1.0,1.0,21.090667278098095,0.8418064648658141
1,25.195615944757233,0.8866605765057602,0.8866605765057602,25.706356240463695,1.0145015538425568
2,31.418497477314094,0.7373782234005551,0.7373782234005551,25.178064046284707,0.7292971765931735
3,38.63910882647721,0.5452222802657137,0.5452222802657137,42.29266841397053,0.46787660890973404
4,46.6295303199014,0.4939570017741843,0.4939570017741843,55.13496576984622,0.4080958075677289
5,55.26493367348112,0.3103429793688745,0.3103429793688745,59.06668508096796,0.4368477514680142
6,63.75143384095327,0.008011107772513584,0.008011107772513584,55.09079815275288,-0.09383915436292291
7,70.72313643813159,-0.30592258489644575,-0.30592258489644575,72.52343765885067,-0.11935702016470548
8,74.98153674622124,-0.573492894220353,-0.573492894220353,69.44944570944783,-0.571067780060156
9,76.26037188132611,-1.056166207509769,-1.056166207509769,65.93598412753428,-0.9150383693143833
10,72.51934747582183,-1.4810223441689578,-1.4810223441689578,69.87176463515783,-1.7765760705940925
11,65.7446793115555,-1.875055765389014,-1.875055765389014,60.52589803880861,-2.2146911548478196
12,58.01614403945299,-2.260551279730312,-2.260551279730312,57.946451464857354,-2.3753016533800984
13,50.479809657126395,-2.565472706618018,-2.565472706618018,54.99650632397178,-2.4076852847369956
14,44.292079043823136,-2.795417275627931,-2.795417275627931,43.495259469924164,-2.6195349343596415
15,39.574952309594785,-3.016770404190865,-3.016770404190865,40.59982196092527,-2.900542371415898
16,35.74277032026671,-3.261089911329148,-3.261089911329148,29.92016178398124,-2.9670800386675866
17,32.33999774394799,-3.468279157629679,-3.468279157629679,35.35614754505311,-3.2173176539384545
18,29.478717468267075,-3.703754390767765,-3.703754390767765,32.129437434817405,-3.9416664537053903
19,26.852780519689833,-3.844219418598226,-3.844219418598226,29.56103110995574,-3.9722049454044606
20,24.841405525207325,-4.076052940443178,-4.076052940443178,21.14953151431984,-4.228145928459889
21,22.841113494397,-4.244538107677688,-4.244538107677688,24.236202035512957,-4.233411381173778
22,21.14459965543347,-4.366983936547568,-4.366983936547568,28.96209023188179,-4.251359773504039
23,19.79414224096455,-4.482798912432715,-4.482798912432715,16.43328482513079,-4.555844920299891
24,18.670241043456038,-4.4983091370679915,-4.4983091370679915,18.082515197849638,-4.143957115890238
25,17.949270448086608,-4.549286205727868,-4.549286205727868,18.040235951744567,-4.548810118632149
26,17.370474795778172,-4.676873281910618,-4.676873281910618,16.83009790560904,-4.699407953559285
27,16.704007622461567,-4.840546893281524,-4.840546893281524,9.863628754166488,-5.023334945604487
28,15.91222106347562,-4.97378677487725,-4.97378677487725,11.592349050440507,-4.955852046826666
29,15.131730760738492,-5.07615646279642,-5.07615646279642,17.77326163487124,-5.151267300925587
30,14.438654509222644,-5.136992349142494,-5.136992349142494,9.250468478258433,-5.194770479973643
31,13.88865663913491,-5.228803999431194,-5.228803999431194,14.406348092777117,-5.30959742064643
32,13.369515359810936,-5.324615632859754,-5.324615632859754,11.85586031258408,-5.019996214155111
33,12.868744299846862,-5.331865835583529,-5.331865835583529,16.384498455824207,-5.340253644057467
34,12.537248977169545,-5.340312119023401,-5.340312119023401,13.865147474726733,-5.260294776307564
35,12.306033387339221,-5.40231992333496,-5.40231992333496,10.510791050311802,-5.326872771543535
36,12.054754894253618,-5.456696881052761,-5.456696881052761,12.403934248280809,-5.497492433997094
37,11.804277619637803,-5.526273165444349,-5.526273165444349,15.776438399911166,-5.499589767582244
38,11.533041515984902,-5.521970433494403,-5.521970433494403,7.283116660661725,-5.565557232983791
39,11.359886353368626,-5.606522467061824,-5.606522467061824,16.635882829707388,-5.441269625747955
40,11.12180800202873,-5.654605223006281,-5.654605223006281,15.936764371387353,-5.855539560084684
41,10.895664133428276,-5.685401816942968,-5.685401816942968,1.6433083766023184,-5.890030802777677
42,10.702705651206813,-5.687091964993862,-5.687091964993862,4.4221793751223535,-5.38572160873176
43,10.57112459266066,-5.803844813086577,-5.803844813086577,2.681578324148381,-5.798028281439013
44,10.325857158638982,-5.827561893960002,-5.827561893960002,13.399696760047904,-5.7812220001520185
