generation,N,G,z
0,20.0,1.0,0.9423831667578192
1,26.674848230504416,1.24,1.1628373050993537
2,35.089192432343395,1.4533006070779824,1.4412107638882308
3,45.43318334847893,1.6329438373486087,1.6600830898335084
4,57.682479996343886,1.771211103954693,1.752138106193702
5,71.38073575961968,1.8604811839693174,2.00586927501019
6,86.2873733918533,1.8949582409308388,1.835587800950617
7,100.17146146202522,1.8698087473634255,1.8738662169492686
8,112.64786317244159,1.7891229015153247,1.5988565456803898
9,120.84058625464957,1.6585314488255585,1.671774568752326
10,127.36711179398172,1.49516910380696,1.5021879752703526
11,130.26364548659834,1.3057006566310332,1.1646324044560021
12,128.5981471935522,1.1046460746846398,0.8311224844719236
13,124.0179313243229,0.910253485910431,1.1308244596350672
14,124.55615073572366,0.7341817606131393,0.8968284965049692
15,122.51140971524237,0.5559571576702447,0.6380703751151497
16,118.67254629726631,0.3859115188092752,0.42072024422823046
17,114.35498648568083,0.23122133362020997,0.26079198955025357
18,110.44711279061039,0.09380138767748666,0.08864528343519582
19,106.68915181957237,-0.027987063484954916,0.011993879184281436
20,103.9435981792267,-0.13474367076324442,-0.28300217024192004
21,99.7872951123695,-0.23051806348015122,-0.276224781626206
22,97.60987292440495,-0.30966724392962924,-0.24404205078267238
23,96.63680532311854,-0.38010673562724906,-0.4269993755545614
24,94.60657483496219,-0.4466539569197232,-0.47059881452211044
25,93.11428000100659,-0.505080256259572,-0.48686997022431966
26,92.1319936544047,-0.5575373762635983,-0.5063162150698796
27,91.4132510716278,-0.6060653508812172,-0.49742745078895767
28,91.0566295291502,-0.6517183551677284,-0.6604235104484576
29,89.63094536759141,-0.6959448732843292,-0.7094367708851933
30,88.44964599720012,-0.7344686547546948,-0.6060790893804179
31,88.5034160848374,-0.7682672387434953,-0.8495123931276822
32,86.77112151450575,-0.8022809030828449,-0.722147656360757
33,86.68308626148472,-0.829365389140868,-0.8977435971005414
34,85.3891944247099,-0.8560977341868069,-0.9428269534863933
35,84.32735520948893,-0.8776545118856465,-0.9684090323857767
36,83.5350300345147,-0.8949639327236022,-1.0165084493542502
37,82.74400543858155,-0.909104052861661,-0.7298066988873111
38,84.15153194393977,-0.9200800746159872,-0.9131413581443403
39,83.81061196932002,-0.9366862023917463,-0.9650300276071327
40,83.25643620587061,-0.9519286502690264,-0.9086521905374583
41,83.30682847057807,-0.9649543950925088,-0.9943507365313723
42,82.76157157159537,-0.978181708974821,-0.9331494837694807
43,82.84675411243857,-0.9892279952612025,-1.012598082217719
44,82.36805444780433,-1.000615011710957,-0.9785134835002371
45,82.31100035838489,-1.010087229502174,-1.006774794261506
46,82.0900131600309,-1.0193312309357137,-0.9632062071144291
47,82.24439134720294,-1.0276912835758372,-0.999592153719118
48,82.09788683061197,-1.036668848964649,-1.1533052658247174
49,80.9824296305551,-1.0450603962870968,-0.9102549645340523
50,81.90477868625082,-1.0489901148093173,-1.1009232862324356
51,81.22382673427012,-1.0566092295543206,-1.085879482367238
52,80.92307342009417,-1.061504536491401,-1.1528644542401438
53,80.30542109169278,-1.0651968301717778,-0.9996580883536759
54,80.92263065099577,-1.066418514538549,-1.131209864553472
55,80.44771518699301,-1.0701090371425321,-1.1578177180227556
56,79.99401257021249,-1.071899897890504,-1.0812317975826473
57,80.21632518496915,-1.071875948171354,-1.0619552912414232
58,80.4736510228119,-1.0727412489112307,-1.0695644124361634
59,80.5805830965171,-1.0746358530024782,-0.9317207644986688
60,81.51968375776218,-1.0769581853885466,-1.2547831076791902
61,79.96313824497439,-1.0830369204195953,-1.3727217748107123
62,78.29159912046819,-1.082889473399493,-1.1127795775549085
63,78.97837080104621,-1.0760558698813656,-0.9957990835648806
64,80.12090786630219,-1.0719693530855505,-1.0227815152013942
65,80.66355250429649,-1.0724529845507593,-1.2894099690573302
66,79.2459236633172,-1.0751071945679453,-1.0173891573934393
67,80.15617428786419,-1.0720908892212142,-1.0576381557854933
68,80.4645858253352,-1.072715586372671,-1.1195606463778562
69,80.25278175076484,-1.0745739296740118,-1.1672918655926585
70,79.81746703610794,-1.075585056677071,-0.9200724965368275
71,81.11266525330896,-1.074854924821503,-1.17712597610665
72,80.25489690675636,-1.0793055858347387,-1.0526979189689352
73,80.55596723716556,-1.080325173461764,-1.1422184180164512
74,80.15960852242021,-1.0825490424104263,-0.9163762404841491
75,81.35132185985049,-1.083187476500107,-1.3458740446215665
76,79.24287863383232,-1.088592763939509,-0.9562441626860716
77,80.52846358518543,-1.0855642784748383,-1.0340738057033874
78,80.84083001970382,-1.08767813281558,-1.2550440625317385
79,79.57762746779855,-1.0910414528943952,-1.2421342916045544
80,78.9349332430024,-1.0893519627655894,-0.9040432591395683
81,80.64664580242842,-1.0850916957375991,-1.188273031570188
82,79.91056537941262,-1.0876782789473127,-0.9870880919892797
83,80.75721399343371,-1.0873205404649633,-1.1021148205442415
84,80.54005560579292,-1.090349396438698,-0.9882350148294814
85,81.1390643743918,-1.0925096188618697,-0.9788804193134734
86,81.56561078775763,-1.097065876359437,-1.2029113571896977
87,80.34192863683245,-1.1033283195104675,-1.1402697886397706
88,80.04570378752214,-1.1046960340577974,-1.0807298360317583
89,80.25080791771279,-1.104878849207886,-1.1867579795455772
90,79.68939191164164,-1.1058820808787373,-1.126729730847138
91,79.74314526383651,-1.1046396485253038,-1.0117222468748752
92,80.5000316975714,-1.1036122295806499,-1.210939712796081
93,79.67579302324071,-1.1056123563709355,-0.9928928509422776
94,80.57517228259901,-1.1043155284638984,-1.12782811614882
95,80.26472916482064,-1.1066162175942944,-1.1093393786680903
96,80.19955312461205,-1.1076751342535769,-1.2171194016888343
97,79.46066212384984,-1.1084733467520251,-1.1677080934241317
98,79.34496342472623,-1.1063159952474244,-1.1084195236785497
99,79.65074609790436,-1.1036958489463293,-1.0596784191830315
100,80.14337992132198,-1.1022988333379469,-1.2593195257298326
101,79.15020374520518,-1.1028723530232347,-1.1210339770666726
102,79.45318894928013,-1.0994731680040555,-1.175969346161665
103,79.28776062359373,-1.097285923801176,-1.0923666003413188
104,79.71657587927125,-1.0944369662955509,-1.051112558908247
105,80.23745165735342,-1.093303269812636,-1.2903328372368208
106,78.99814828834721,-1.0942530764420495,-1.1228576888776236
107,79.34928038070849,-1.0902456695954383,-1.0492627876930254
108,80.02310368318531,-1.0876427911182722,-0.9930575194236275
109,80.78978215011557,-1.0877352058510135,-1.1983292035921733
110,79.92706743669144,-1.0908943344514757,-1.1353928952335532
111,79.83027484318688,-1.0906026041982415,-1.1292038130596933
112,79.81195994035555,-1.089923703570989,-1.0191802954230191
113,80.49603942840312,-1.0891715433324112,-1.1276464218491506
114,80.21900798070165,-1.0911557010460238,-1.1301360475305964
115,80.03824807101445,-1.0920317329688303,-1.0509229168534253
116,80.43534717423873,-1.092184725252888,-1.0288432591878092
117,80.81747045793524,-1.0939261139498428,-1.1886922604020984
