generation,N,z
0,20.0,1.0
1,26.81469084690925,0.94
2,35.371192660722116,0.8595559274592722
3,45.652713283867485,0.7534423494771059
4,57.26369481330604,0.6164842096255034
5,69.26737758866774,0.44469312518558535
6,80.17936173528462,0.2368909924195821
7,88.300250102815,-0.003647092786271733
8,92.39847142575526,-0.26854784309471674
9,92.34282038369005,-0.5457432573719825
10,89.1036200129836,-0.8227717185230526
11,84.09621895339147,-1.0900825785620034
12,78.5029290009433,-1.3423712354221777
13,73.0295242735781,-1.5778800224250076
14,67.99324757527553,-1.796968595245742
15,63.48643232534876,-2.0009483379715687
16,59.49624970042457,-2.191407634947615
17,55.97013488224621,-2.3698963840488885
18,52.84630228036546,-2.5378067886956273
19,50.06621824336474,-2.6963456955367238
20,47.57874063861847,-2.846544350266818
21,45.340729704288165,-2.989280572182673
22,43.31633031614075,-3.1253027612955377
23,41.47587633534844,-3.25525175224396
24,39.79479869137376,-3.379679381250005
25,38.252669606201465,-3.4990637773241264
26,36.832411322779784,-3.6138217861427306
27,35.51965792717409,-3.72431902011107
28,34.302246628126355,-3.8308779938925923
29,33.16981378588143,-3.9337847337769714
30,32.11347390044847,-4.033294175134616
31,31.125563664818255,-4.129634596835961
32,30.199436889023705,-4.223011287830416
33,29.32929922987925,-4.313609598497487
34,28.5100741686328,-4.401597496187124
35,27.7372936338266,-4.4871277186930225
36,27.00700816992482,-4.570339599594503
37,26.315712700830844,-4.651360624104277
38,25.660284813484687,-4.7303077622067695
39,25.037933155776948,-4.807288616647224
40,24.4461540555613,-4.882402416114554
41,23.882694861911773,-4.955740878281238
42,23.345522814760432,-5.027388962866974
43,22.83279848623844,-5.097425531311255
44,22.342853022576918,-5.16592392676997
45,21.874168561411206,-5.232952485837701
46,21.42536131487869,-5.298574991521934
47,20.995166900884836,-5.36285107546657
48,20.58242757855248,-5.425836576169225
49,20.186081103147703,-5.487583858904882
50,19.805150963744797,-5.548142102214325
51,19.43873780590778,-5.60755755510556
52,19.08601187355314,-5.665873768523283
53,18.746206330341597,-5.723131804143942
54,18.418611342542746,-5.779370423134967
55,18.10256882320511,-5.834626257162595
56,17.797467752342815,-5.88893396363221
57,17.502740000273846,-5.9423263668892385
58,17.2178565916579,-5.99483458689006
59,16.94232435654083,-6.046488156665034
60,16.675682922106258,-6.097315129734657
61,16.417502005096317,-6.147342178500976
62,16.16737897018325,-6.196594684516265
63,15.92493662410707,-6.245096821426815
64,15.68982121926936,-6.292871631299136
65,15.461700643794606,-6.339941094956944
66,15.240262777925228,-6.386326196888328
67,15.025213999076463,-6.432046985222104
68,14.816277820002751,-6.477122627219333
69,14.613193646368037,-6.521571460679342
70,14.415715641610507,-6.565411041618446
71,14.223611688382837,-6.608658188543277
72,14.036662437061675,-6.651329023608426
73,13.854660432879916,-6.693439010919611
74,13.677409314163453,-6.73500299221825
75,13.504723074968581,-6.776035220160741
76,13.336425386132314,-6.816549389385647
77,13.172348969378776,-6.856558665544044
78,13.012335019681542,-6.89607571245218
79,12.856232671574004,-6.935112717511224
80,12.703898505535806,-6.973681415525946
81,12.555196090970131,-7.011793111042554
82,12.409995562630206,-7.049458699315464
83,12.268173227659315,-7.086688686003354
84,12.129611200681179,-7.123493205686332
85,11.994197064620973,-7.159882039288376
86,11.86182355515483,-7.195864630482238
87,11.732388266880493,-7.231450101147702
88,11.605793379476443,-7.266647265948344
89,11.48194540227364,-7.301464646086774
90,11.36075493580498,-7.3359104822935945
91,11.242136449024452,-7.369992747101009
92,11.126008071002357,-7.403719156448083
93,11.012291396006102,-7.43709718066109
94,10.90091130096939,-7.470134054849108
95,10.791795774436874,-7.502836788752016
96,10.68487575614774,-7.535212176075326
97,10.58008498649097,-7.567266803343769
98,10.477359865127744,-7.5990070583032425
99,10.376639318133627,-7.630439137898626
100,10.277864673065084,-7.661569055853026
101,10.18097954140204,-7.692402649872221
102,10.085929707861418,-7.722945588496428
103,9.992663026115745,-7.753203377620012
104,9.901129320486888,-7.783181366698359
105,9.811280293217695,-7.8128847546598195
